VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Vehicle Age,Vehicle Category
5UX43EU07S,Snohomish,Snohomish,WA,98296,2025,Bmw,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40.0,44.0,279314360,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052122,1,PHEV
5YJ3E1EB5J,Yakima,Yakima,WA,98901,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,14.0,220635992,POINT (-120.50729 46.60464),PACIFICORP,53077000100,8,BEV
WA1AAAGE5M,King,Seattle,WA,98112,2021,Audi,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222.0,43.0,282112967,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400,5,BEV
5YJXCAE2XG,Kitsap,Bremerton,WA,98310,2016,Tesla,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,23.0,103165100,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400,10,BEV
5YJYGDEF0L,Yakima,Yakima,WA,98902,2020,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,14.0,289247549,POINT (-120.51904 46.59782),PACIFICORP,53077001000,6,BEV
WBY1Z4C59F,Kitsap,Bremerton,WA,98312,2015,Bmw,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,26.0,111760911,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035081000,11,PHEV
5YJSA1E46G,King,Burien,WA,98166,2016,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,34.0,105418449,POINT (-122.34731 47.45207),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027902,10,BEV
KNDPYDDH9R,Kitsap,Poulsbo,WA,98370,2024,Kia,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34.0,23.0,277237656,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100,2,PHEV
5YJ3E1EA4L,Kitsap,Port Orchard,WA,98367,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,35.0,273607344,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092901,6,BEV
KNDJP3AE3G,King,Kirkland,WA,98033,2016,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,45.0,149724767,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603,10,BEV
1FADP5CU1D,Yakima,Yakima,WA,98903,2013,Ford,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,14.0,349114643,POINT (-120.71847 46.55029),PACIFICORP,53077002803,13,PHEV
